Cluster	Motif 1	Motif 2	Number of genes in cluster with both motifs	Total number of genes with both motifs	Number of genes in cluster	Raw p-value	Adjusted p-value (BH)	Adjusted p-value (Bonf)	Adjusted p-value (Global Bonf)	Genes
G1	ARR11	ARR11_2	3	330	267	0.619871	0.619871	1	1	AT4G34670;AT5G02960;AT5G56670;
G1	ARR11	ARR11_3ARY	8	551	267	0.165866	0.326152	1	1	AT1G02500;AT1G08830;AT1G78380;AT3G24830;AT4G34870;AT5G09510;AT5G38480;AT5G56670;
G1	ARR11	ARR14	39	2891	267	0.02014	0.153614	1	1	AT1G01720;AT1G02500;AT1G04270;AT1G08830;AT1G14320;AT1G15930;AT1G57720;AT1G65290;AT1G74060;AT1G78040;AT2G27720;AT2G36620;AT2G47110;AT3G05560;AT3G22230;AT3G46040;AT3G49010;AT3G49910;AT3G52590;AT3G53430;AT3G55440;AT3G62290;AT4G02230;AT4G15910;AT4G16720;AT4G31985;AT4G34670;AT4G34870;AT4G38920;AT5G02450;AT5G03240;AT5G03850;AT5G05410;AT5G08670;AT5G09510;AT5G09810;AT5G38480;AT5G45775;AT5G56670;
G1	ARR11	ARR14_2	3	160	267	0.201555	0.326152	1	1	AT3G49010;AT4G34670;AT5G56670;
G1	ARR11	ARR14_3ARY	9	429	267	0.0242506	0.163473	1	1	AT1G02500;AT1G65290;AT1G78380;AT3G05560;AT3G24830;AT4G38920;AT5G09510;AT5G09810;AT5G38480;
G1	ARR11	AT1G77200	15	974	267	0.0519145	0.253524	1	1	AT1G01720;AT1G04270;AT1G14320;AT1G74060;AT1G78040;AT2G31390;AT3G46040;AT3G55440;AT3G62290;AT4G15910;AT4G29410;AT4G34870;AT5G02450;AT5G56030;AT5G56670;
G1	ARR11	AT5G28300	11	1001	267	0.374023	0.374023	1	1	AT1G15930;AT1G17190;AT1G69620;AT2G31390;AT3G22230;AT3G60245;AT4G02230;AT4G29410;AT4G34870;AT5G02960;AT5G56670;
G1	ARR11	ATERF1	15	1039	267	0.0800916	0.298571	1	1	AT1G14320;AT1G57720;AT1G74060;AT1G78040;AT2G27720;AT3G09840;AT3G46040;AT3G49910;AT3G60245;AT3G62290;AT4G15910;AT5G02450;AT5G02960;AT5G08670;AT5G56670;
G1	ARR11	ATERF1_2	11	1047	267	0.430817	0.430817	1	1	AT1G08360;AT1G15930;AT1G74060;AT2G27720;AT3G46040;AT3G49910;AT3G60245;AT4G15910;AT4G29410;AT5G02960;AT5G56670;
G1	ARR11	CCA1	13	917	267	0.109079	0.320427	1	1	AT1G04480;AT1G08830;AT1G17190;AT1G78040;AT1G78380;AT2G01250;AT3G22230;AT3G52590;AT5G03240;AT5G05410;AT5G09510;AT5G47930;AT5G56670;
G1	ARR11	CCA1_2	20	2323	267	0.736096	0.736096	1	1	AT1G01720;AT1G02500;AT1G14320;AT1G17190;AT1G57720;AT1G65290;AT1G69620;AT3G23830;AT3G49010;AT3G55440;AT4G02230;AT4G15910;AT4G29410;AT4G31985;AT4G38920;AT5G02450;AT5G27850;AT5G38480;AT5G56030;AT5G56670;
G1	ARR11	DDF1	8	957	267	0.708974	0.708974	1	1	AT1G04270;AT1G78040;AT4G29410;AT4G34870;AT5G02450;AT5G08670;AT5G09510;AT5G56030;
G1	ARR11	DREB2C	15	1012	267	0.0673854	0.269542	1	1	AT1G01720;AT1G14320;AT1G15930;AT1G57720;AT1G74060;AT2G47110;AT3G05560;AT3G09840;AT3G46040;AT3G53430;AT3G62290;AT4G15910;AT5G02960;AT5G08670;AT5G56670;
G1	ARR11	DREB2C_2	15	1005	267	0.0643267	0.257307	1	1	AT1G01720;AT1G04270;AT1G14320;AT1G74060;AT1G78040;AT2G31390;AT3G09840;AT3G46040;AT3G55440;AT4G15910;AT4G29410;AT4G34870;AT5G02450;AT5G03240;AT5G56670;
